time_step,step_idx,x,y,cur_x,cur_y
0,0,0,0,0,0
0,1,0.02,0,0,0
0,2,0.0399942,0.000479954,0,0
0,3,0.0599712,0.00143959,0,0
0,4,0.0799194,0.00287834,0,0
0,5,0.0998273,0.00479539,0,0
0,6,0.119683,0.00718964,0,0
0,7,0.139476,0.0100597,0,0
0,8,0.159195,0.0134039,0,0
0,9,0.178827,0.0172204,0,0
0,10,0.198363,0.0215068,0,0
1,0,2e-05,0,2e-05,0
1,1,0.02002,4.8e-07,2e-05,0
1,2,0.0400142,0.000480914,2e-05,0
1,3,0.0599912,0.00144102,2e-05,0
1,4,0.0799393,0.00288026,2e-05,0
1,5,0.0998472,0.00479779,2e-05,0
1,6,0.119703,0.00719251,2e-05,0
1,7,0.139496,0.010063,2e-05,0
1,8,0.159215,0.0134077,2e-05,0
1,9,0.178847,0.0172247,2e-05,0
1,10,0.198382,0.0215116,2e-05,0
2,0,5.98e-05,9.552e-10,5.98e-05,9.552e-10
2,1,0.0200598,1.43616e-06,5.98e-05,9.552e-10
2,2,0.040054,0.000482825,5.98e-05,9.552e-10
2,3,0.0600309,0.00144389,5.98e-05,9.552e-10
2,4,0.079979,0.00288408,5.98e-05,9.552e-10
2,5,0.0998868,0.00480256,5.98e-05,9.552e-10
2,6,0.119743,0.00719823,5.98e-05,9.552e-10
2,7,0.139536,0.0100697,5.98e-05,9.552e-10
2,8,0.159254,0.0134153,5.98e-05,9.552e-10
2,9,0.178886,0.0172332,5.98e-05,9.552e-10
2,10,0.198421,0.0215211,5.98e-05,9.552e-10
3,0,0.000119202,5.21789e-09,0.000119202,5.21789e-09
3,1,0.0201192,2.86607e-06,0.000119202,5.21789e-09
3,2,0.0401134,0.00048568,0.000119202,5.21789e-09
3,3,0.0600902,0.00144817,0.000119202,5.21789e-09
3,4,0.0800382,0.00288978,0.000119202,5.21789e-09
3,5,0.0999458,0.00480968,0.000119202,5.21789e-09
3,6,0.119802,0.00720676,0.000119202,5.21789e-09
3,7,0.139594,0.0100797,0.000119202,5.21789e-09
3,8,0.159312,0.0134267,0.000119202,5.21789e-09
3,9,0.178944,0.0172459,0.000119202,5.21789e-09
3,10,0.198479,0.0215352,0.000119202,5.21789e-09
4,0,0.00019801,1.64908e-08,0.00019801,1.64908e-08
4,1,0.020198,4.76873e-06,0.00019801,1.64908e-08
4,2,0.0401921,0.000489474,0.00019801,1.64908e-08
4,3,0.0601689,0.00145385,0.00019801,1.64908e-08
4,4,0.0801167,0.00289735,0.00019801,1.64908e-08
4,5,0.100024,0.00481913,0.00019801,1.64908e-08
4,6,0.11988,0.00721809,0.00019801,1.64908e-08
4,7,0.139672,0.0100929,0.00019801,1.64908e-08
